OUT	S_10317_000010130	S_10317_000011015	S_10317_000022662	S_10317_000026461	S_10317_000016316	S_10317_000012879	S_10317_000023846	S_10317_000023250	S_10317_000031575	S_10317_000022969	S_10317_000029169	S_10317_000015910	S_10317_000016448	S_10317_000022448	S_10317_000016449	S_10317_000017640	S_10317_000006645
Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroidetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chloroflexi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroidetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyanobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroidetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroidetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroidetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chloroflexi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gemmatimonadetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroidetes	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0
Firmicutes	0	0	0	0	0	0	0	3	0	1	4	40	2	135	6	1	0
Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spirochaetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chloroflexi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Planctomycetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroidetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1
Bacteroidetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroidetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0
Acidobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroidetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroidetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes	0	0	231	29	1	0	0	3	94	93	37	6	0	19	8	55	2
Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
